year,65pop,65pov,65pc,w65pop,w65pov,w65pc,b65pop,b65pov,b65pc,a65pop,a65pov,a65pc,h65pop,h65pov,h65pc
2001,33769,3414,10.1,29790,2656,8.9,2853,626,21.9,899,92,10.2,1896,413,21.8
2000,33566,3323,9.9,29703,2584,8.7,2785,607,21.8,878,82,9.3,1822,381,20.9
1999,33377,3222,9.7,29553,2446,8.3,2750,628,22.8,864,96,11.1,1661,340,20.5
1998,32394,3386,10.5,28759,2555,8.9,2723,718,26.4,785,97,12.4,1696,356,21
1997,32082,3376,10.5,28553,2569,9,2691,700,26,705,87,12.3,1617,384,23.8
1996,31877,3428,10.8,28464,2667,9.4,2616,661,25.3,647,63,9.7,1516,370,24.4
1995,31658,3318,10.5,28436,2572,9,2478,629,25.4,622,89,14.3,1458,342,23.5
1994,31267,3663,11.7,27985,2846,10.2,2557,700,27.4,513,67,13,1428,323,22.6
1993,30779,3755,12.2,27580,2939,10.7,2510,702,28,503,79,15.6,1390,297,21.4
1992,30430,3928,12.9,27256,2989,11,2504,838,33.5,494,53,10.8,1298,287,22.1
1991,30590,3781,12.4,27297,2802,10.3,2606,880,33.8,555,70,12.7,1143,237,20.8
1990,30093,3658,12.2,26898,2707,10.1,2547,860,33.8,514,62,12.1,1091,245,22.5
1989,29566,3363,11.4,26479,2539,9.6,2487,763,30.7,465,34,7.4,1024,211,20.6
1988,29022,3481,12,26001,2593,10,2436,785,32.2,442,60,13.5,1005,225,22.4
1987,28487,3563,12.5,25602,2704,10.6,2387,774,32.4,375,56,15,885,243,27.5
1986,27975,3477,12.4,25173,2689,10.7,2331,722,31,,,,906,204,22.5
1985,27322,3456,12.6,24629,2698,11,2273,717,31.5,,,,915,219,23.9
1984,26818,3330,12.4,24206,2579,10.7,2238,710,31.7,,,,819,176,21.5
1983,26313,3625,13.8,23754,2776,11.7,2197,791,36,,,,782,173,22.1
1982,25738,3751,14.6,23234,2870,12.4,2124,811,38.2,,,,596,159,26.6
1981,25231,3853,15.3,22791,2978,13.1,2102,820,39,,,,568,146,25.7
1980,24686,3871,15.7,22325,3042,13.6,2054,783,38.1,,,,582,179,30.8
1979,24194,3682,15.2,21898,2911,13.3,2040,740,36.2,,,,574,154,26.8
1978,23175,3233,14,20950,2530,12.1,1954,662,33.9,,,,539,125,23.2
1977,22468,3177,14.1,20316,2426,11.9,1930,701,36.3,,,,518,113,21.9
1976,22100,3313,15,20020,2633,13.2,1852,644,34.8,,,,464,128,27.7
1975,21662,3317,15.3,19654,2634,13.4,1795,652,36.3,,,,420,137,32.6
1974,21127,3085,14.6,19206,2460,12.8,1721,591,34.3,,,,405,117,28.9
1973,20602,3354,16.3,18736,2698,14.4,1672,620,37.1,,,,382,95,24.9
1972,20117,3738,18.6,18286,3072,16.8,1603,640,39.9,,,,,,
1971,19827,4273,21.6,18116,3605,19.9,1584,623,39.3,,,,,,
1970,19470,4793,24.6,17748,4011,22.6,1422,683,48,,,,,,
1969,18899,4787,25.3,17391,4052,23.3,1373,689,50.2,,,,,,
1968,18559,4632,25,17062,3939,23.1,1374,655,47.7,,,,,,
1967,18240,5388,29.5,16791,4646,27.7,1341,715,53.3,,,,,,
1966,17929,5114,28.5,16514,4357,26.4,1311,722,55.1,,,,,,
