year,65pop,65pov,65pc,category
2001,33769,3414,10.1,all
2000,33566,3323,9.9,all
1999,33377,3222,9.7,all
1998,32394,3386,10.5,all
1997,32082,3376,10.5,all
1996,31877,3428,10.8,all
1995,31658,3318,10.5,all
1994,31267,3663,11.7,all
1993,30779,3755,12.2,all
1992,30430,3928,12.9,all
1991,30590,3781,12.4,all
1990,30093,3658,12.2,all
1989,29566,3363,11.4,all
1988,29022,3481,12,all
1987,28487,3563,12.5,all
1986,27975,3477,12.4,all
1985,27322,3456,12.6,all
1984,26818,3330,12.4,all
1983,26313,3625,13.8,all
1982,25738,3751,14.6,all
1981,25231,3853,15.3,all
1980,24686,3871,15.7,all
1979,24194,3682,15.2,all
1978,23175,3233,14,all
1977,22468,3177,14.1,all
1976,22100,3313,15,all
1975,21662,3317,15.3,all
1974,21127,3085,14.6,all
1973,20602,3354,16.3,all
1972,20117,3738,18.6,all
1971,19827,4273,21.6,all
1970,19470,4793,24.6,all
1969,18899,4787,25.3,all
1968,18559,4632,25,all
1967,18240,5388,29.5,all
1966,17929,5114,28.5,all
2001,29790,2656,8.9,white
2000,29703,2584,8.7,white
1999,29553,2446,8.3,white
1998,28759,2555,8.9,white
1997,28553,2569,9,white
1996,28464,2667,9.4,white
1995,28436,2572,9,white
1994,27985,2846,10.2,white
1993,27580,2939,10.7,white
1992,27256,2989,11,white
1991,27297,2802,10.3,white
1990,26898,2707,10.1,white
1989,26479,2539,9.6,white
1988,26001,2593,10,white
1987,25602,2704,10.6,white
1986,25173,2689,10.7,white
1985,24629,2698,11,white
1984,24206,2579,10.7,white
1983,23754,2776,11.7,white
1982,23234,2870,12.4,white
1981,22791,2978,13.1,white
1980,22325,3042,13.6,white
1979,21898,2911,13.3,white
1978,20950,2530,12.1,white
1977,20316,2426,11.9,white
1976,20020,2633,13.2,white
1975,19654,2634,13.4,white
1974,19206,2460,12.8,white
1973,18736,2698,14.4,white
1972,18286,3072,16.8,white
1971,18116,3605,19.9,white
1970,17748,4011,22.6,white
1969,17391,4052,23.3,white
1968,17062,3939,23.1,white
1967,16791,4646,27.7,white
1966,16514,4357,26.4,white
2001,2853,626,21.9,black
2000,2785,607,21.8,black
1999,2750,628,22.8,black
1998,2723,718,26.4,black
1997,2691,700,26,black
1996,2616,661,25.3,black
1995,2478,629,25.4,black
1994,2557,700,27.4,black
1993,2510,702,28,black
1992,2504,838,33.5,black
1991,2606,880,33.8,black
1990,2547,860,33.8,black
1989,2487,763,30.7,black
1988,2436,785,32.2,black
1987,2387,774,32.4,black
1986,2331,722,31,black
1985,2273,717,31.5,black
1984,2238,710,31.7,black
1983,2197,791,36,black
1982,2124,811,38.2,black
1981,2102,820,39,black
1980,2054,783,38.1,black
1979,2040,740,36.2,black
1978,1954,662,33.9,black
1977,1930,701,36.3,black
1976,1852,644,34.8,black
1975,1795,652,36.3,black
1974,1721,591,34.3,black
1973,1672,620,37.1,black
1972,1603,640,39.9,black
1971,1584,623,39.3,black
1970,1422,683,48,black
1969,1373,689,50.2,black
1968,1374,655,47.7,black
1967,1341,715,53.3,black
1966,1311,722,55.1,black
2001,899,92,10.2,asian
2000,878,82,9.3,asian
1999,864,96,11.1,asian
1998,785,97,12.4,asian
1997,705,87,12.3,asian
1996,647,63,9.7,asian
1995,622,89,14.3,asian
1994,513,67,13,asian
1993,503,79,15.6,asian
1992,494,53,10.8,asian
1991,555,70,12.7,asian
1990,514,62,12.1,asian
1989,465,34,7.4,asian
1988,442,60,13.5,asian
1987,375,56,15,asian
2001,1896,413,21.8,hispanic
2000,1822,381,20.9,hispanic
1999,1661,340,20.5,hispanic
1998,1696,356,21,hispanic
1997,1617,384,23.8,hispanic
1996,1516,370,24.4,hispanic
1995,1458,342,23.5,hispanic
1994,1428,323,22.6,hispanic
1993,1390,297,21.4,hispanic
1992,1298,287,22.1,hispanic
1991,1143,237,20.8,hispanic
1990,1091,245,22.5,hispanic
1989,1024,211,20.6,hispanic
1988,1005,225,22.4,hispanic
1987,885,243,27.5,hispanic
1986,906,204,22.5,hispanic
1985,915,219,23.9,hispanic
1984,819,176,21.5,hispanic
1983,782,173,22.1,hispanic
1982,596,159,26.6,hispanic
1981,568,146,25.7,hispanic
1980,582,179,30.8,hispanic
1979,574,154,26.8,hispanic
1978,539,125,23.2,hispanic
1977,518,113,21.9,hispanic
1976,464,128,27.7,hispanic
1975,420,137,32.6,hispanic
1974,405,117,28.9,hispanic
1973,382,95,24.9,hispanic
